DATA,DATA,ESTADO,CIDADE,CONFIRMADOS,FATAIS
2020-03-12 00:00:00,2020-03-12 00:00:00,MG,IPATINGA,1,0
2020-03-12 00:00:00,2020-03-12 00:00:00,PE,RECIFE,2,0
2020-03-12 00:00:00,2020-03-12 00:00:00,PR,CIANORTE,1,0
2020-03-12 00:00:00,2020-03-12 00:00:00,PR,CURITIBA,5,0
2020-03-12 00:00:00,2020-03-12 00:00:00,RJ,BARRA MANSA,1,0
2020-03-12 00:00:00,2020-03-12 00:00:00,RJ,INDEFINIDA,1,0
2020-03-12 00:00:00,2020-03-12 00:00:00,RJ,NITERÓI,1,0
2020-03-12 00:00:00,2020-03-12 00:00:00,RJ,RIO DE JANEIRO,13,0
2020-03-12 00:00:00,2020-03-12 00:00:00,RN,NATAL,1,0
2020-03-12 00:00:00,2020-03-12 00:00:00,RS,CAMPO BOM,1,0
2020-03-12 00:00:00,2020-03-12 00:00:00,RS,CAXIAS DO SUL,1,0
2020-03-12 00:00:00,2020-03-12 00:00:00,RS,PORTO ALEGRE,2,0
2020-03-12 00:00:00,2020-03-12 00:00:00,SC,FLORIANÓPOLIS,2,0
2020-03-12 00:00:00,2020-03-12 00:00:00,SP,FERRAZ DE VASCONCELOS,1,0
2020-03-12 00:00:00,2020-03-12 00:00:00,SP,SANTANA DE PARNAÍBA,1,0
2020-03-12 00:00:00,2020-03-12 00:00:00,SP,SÃO PAULO,44,0
2020-03-13 00:00:00,2020-03-13 00:00:00,AL,MACEIÓ,1,0
2020-03-13 00:00:00,2020-03-13 00:00:00,AM,MANAUS,2,0
2020-03-13 00:00:00,2020-03-13 00:00:00,BA,FEIRA DE SANTANA,4,0
2020-03-13 00:00:00,2020-03-13 00:00:00,BA,SALVADOR,3,0
2020-03-13 00:00:00,2020-03-13 00:00:00,DF,BRASÍLIA,2,0
2020-03-13 00:00:00,2020-03-13 00:00:00,ES,INDEFINIDA,1,0
2020-03-13 00:00:00,2020-03-13 00:00:00,GO,GOIÂNIA,2,0
2020-03-13 00:00:00,2020-03-13 00:00:00,GO,RIO VERDE,1,0
2020-03-13 00:00:00,2020-03-13 00:00:00,MG,DIVINÓPOLIS,1,0
2020-03-13 00:00:00,2020-03-13 00:00:00,MG,IPATINGA,1,0
2020-03-13 00:00:00,2020-03-13 00:00:00,PE,RECIFE,2,0
2020-03-13 00:00:00,2020-03-13 00:00:00,PR,CIANORTE,1,0
2020-03-13 00:00:00,2020-03-13 00:00:00,PR,CURITIBA,5,0
2020-03-13 00:00:00,2020-03-13 00:00:00,RJ,BARRA MANSA,1,0
2020-03-13 00:00:00,2020-03-13 00:00:00,RJ,INDEFINIDA,1,0
2020-03-13 00:00:00,2020-03-13 00:00:00,RJ,NITERÓI,1,0
2020-03-13 00:00:00,2020-03-13 00:00:00,RJ,RIO DE JANEIRO,13,0
2020-03-13 00:00:00,2020-03-13 00:00:00,RN,NATAL,1,0
2020-03-13 00:00:00,2020-03-13 00:00:00,RS,CAMPO BOM,1,0
2020-03-13 00:00:00,2020-03-13 00:00:00,RS,CAXIAS DO SUL,1,0
2020-03-13 00:00:00,2020-03-13 00:00:00,RS,PORTO ALEGRE,2,0
2020-03-13 00:00:00,2020-03-13 00:00:00,SC,FLORIANÓPOLIS,2,0
2020-03-13 00:00:00,2020-03-13 00:00:00,SC,JOINVILLE,1,0
2020-03-13 00:00:00,2020-03-13 00:00:00,SP,FERRAZ DE VASCONCELOS,1,0
2020-03-13 00:00:00,2020-03-13 00:00:00,SP,INDEFINIDA,10,0
2020-03-13 00:00:00,2020-03-13 00:00:00,SP,SANTANA DE PARNAÍBA,1,0
2020-03-13 00:00:00,2020-03-13 00:00:00,SP,SÃO PAULO,44,0
2020-03-14 00:00:00,2020-03-14 00:00:00,AL,MACEIÓ,1,0
2020-03-14 00:00:00,2020-03-14 00:00:00,AM,MANAUS,2,0
2020-03-14 00:00:00,2020-03-14 00:00:00,BA,FEIRA DE SANTANA,4,0
2020-03-14 00:00:00,2020-03-14 00:00:00,BA,SALVADOR,3,0
2020-03-14 00:00:00,2020-03-14 00:00:00,DF,BRASÍLIA,8,0
2020-03-14 00:00:00,2020-03-14 00:00:00,ES,INDEFINIDA,1,0
2020-03-14 00:00:00,2020-03-14 00:00:00,GO,GOIÂNIA,3,0
2020-03-14 00:00:00,2020-03-14 00:00:00,GO,RIO VERDE,1,0
2020-03-14 00:00:00,2020-03-14 00:00:00,MG,DIVINÓPOLIS,1,0
2020-03-14 00:00:00,2020-03-14 00:00:00,MG,IPATINGA,1,0
2020-03-14 00:00:00,2020-03-14 00:00:00,MG,JUIZ DE FORA,1,0
2020-03-14 00:00:00,2020-03-14 00:00:00,MG,PATROCÍNIO,1,0
2020-03-14 00:00:00,2020-03-14 00:00:00,MS,CAMPO GRANDE,2,0
2020-03-14 00:00:00,2020-03-14 00:00:00,PE,INDEFINIDA,1,0
2020-03-14 00:00:00,2020-03-14 00:00:00,PE,RECIFE,6,0
2020-03-14 00:00:00,2020-03-14 00:00:00,PR,CIANORTE,1,0
2020-03-14 00:00:00,2020-03-14 00:00:00,PR,CURITIBA,5,0
2020-03-14 00:00:00,2020-03-14 00:00:00,RJ,BARRA MANSA,1,0
2020-03-14 00:00:00,2020-03-14 00:00:00,RJ,INDEFINIDA,7,0
2020-03-14 00:00:00,2020-03-14 00:00:00,RJ,NITERÓI,1,0
2020-03-14 00:00:00,2020-03-14 00:00:00,RJ,RIO DE JANEIRO,13,0
2020-03-14 00:00:00,2020-03-14 00:00:00,RN,NATAL,1,0
2020-03-14 00:00:00,2020-03-14 00:00:00,RS,,2,0
2020-03-14 00:00:00,2020-03-14 00:00:00,RS,CAMPO BOM,1,0
2020-03-14 00:00:00,2020-03-14 00:00:00,RS,CAXIAS DO SUL,1,0
2020-03-14 00:00:00,2020-03-14 00:00:00,RS,PORTO ALEGRE,2,0
2020-03-14 00:00:00,2020-03-14 00:00:00,SC,FLORIANÓPOLIS,2,0
2020-03-14 00:00:00,2020-03-14 00:00:00,SC,JOINVILLE,1,0
